ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,eu_tour,unwto_oecd_tour,adr
2,0,49320,101,526355,810,8,877637,46100750,1073909870,Jozef Jasečko,Spišská Nová Ves,Trieda 1. mája 2317/14,5205,12/03/2018,10/03/2011,FALSE,SUSR,17/05/2016 23:08,17/03/2018 06:08,FALSE,2018-02-01,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,526509,801,8,1774043,51713641,NULL,Nick Zoričák,Gelnica,Športová 1289/23,5601,22/10/2019,01/08/2019,FALSE,SUSR,06/06/2018 08:36,29/10/2019 12:39,FALSE,NULL,NULL,Košický kraj,Region of Košice,Gelnica,Gelnica,Gelnica,Gelnica,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,526355,810,8,464269,37176056,1023592328,Branislav Valkoššák,Spišská Nová Ves,Javorová 2017/11,5201,07/04/2020,04/12/2013,FALSE,SUSR,17/05/2016 22:34,12/05/2020 20:32,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,526355,810,8,1857649,52392341,NULL,Erik Kuchár - ER trans,Spišská Nová Ves,Gaštanová 1742/2,5201,22/10/2019,29/04/2019,FALSE,SUSR,06/08/2019 02:40,29/10/2019 15:43,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,467360,35321997,1043022904,Marcel Lapšanský,Spišská Nová Ves,Fabiniho ul.-žel stanica,5201,06/09/2013,17/01/2000,FALSE,SUSR,17/05/2016 22:34,31/08/2019 16:17,FALSE,2011-02-02,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,11,49320,112,526355,810,8,1527172,47584904,2023991838,AUTOKRES SK s.r.o.,Spišská Nová Ves,Odorínska cesta 1,5201,03/07/2020,16/01/2014,FALSE,SUSR,17/05/2016 23:38,04/07/2020 05:19,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spol. s r. o.,Limited liability comp.,Taxislužba,Taxi operation,25-49 zamestnancov,25-49 employees,Súkromné tuzemské,Private inland,25,49,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,474543,35321270,1041146194,Slavomír Novotný - PP TAXI,Spišská Nová Ves,P. Jilemnického 19/20,5205,12/03/2018,28/10/1999,FALSE,SUSR,17/05/2016 22:35,16/03/2018 22:00,FALSE,2013-01-09,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,526355,810,8,123545,41690281,1048252194,Zoltán Karas - V.I.P Taxi,Spišská Nová Ves,J. Wolkera 2146/23,5205,03/12/2019,17/06/2019,FALSE,SUSR,17/05/2016 21:59,04/12/2019 02:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,1,49320,101,543331,810,8,1471751,47317191,NULL,Rastislav Šmelko,Markušovce,Brezová 405/9,5321,14/02/2018,26/06/2013,FALSE,SUSR,17/05/2016 23:33,15/02/2018 02:51,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Markušovce,Markušovce,Živnostník,Entrepreneur,Taxislužba,Taxi operation,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,1,49320,101,560154,810,8,787397,44627891,1072849239,Milan Chromý,Smižany,Štefánikova 450/38,5311,31/07/2017,02/02/2009,FALSE,SUSR,17/05/2016 23:05,01/08/2017 14:15,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Smižany,Smižany,Živnostník,Entrepreneur,Taxislužba,Taxi operation,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,834836,45878773,1071567090,Vladimír Hricov,Spišská Nová Ves,J. Wolkera 2414/32,5205,04/10/2018,01/10/2010,FALSE,SUSR,17/05/2016 23:07,05/10/2018 02:01,FALSE,2018-09-25,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,927357,45615781,1048136441,Ľuboš Puškár,Spišská Nová Ves,J. Wolkera 2200/20,5205,31/07/2017,15/06/2010,FALSE,SUSR,17/05/2016 23:09,01/08/2017 14:50,FALSE,2011-02-08,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,560154,810,8,944717,45442941,1081891162,Veronika Lengvarská,Smižany,Topoľová 972/13,5311,31/07/2017,24/02/2010,FALSE,SUSR,17/05/2016 23:10,01/08/2017 14:53,FALSE,2011-03-24,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Smižany,Smižany,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,280757,40848434,NULL,Roman Kollár,Spišská Nová Ves,J. Matušku 6/14,5201,31/07/2017,11/12/2003,FALSE,SUSR,17/05/2016 22:15,01/08/2017 07:37,FALSE,2008-10-10,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,3,49320,105,526355,810,8,643211,40846521,1070799939,Peter Raptoš,Spišská Nová Ves,P. Jilemnického 42125,5205,07/04/2020,14/01/2014,FALSE,SUSR,17/05/2016 22:51,12/05/2020 20:08,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,partialy tourism industry,individual transportation industries,NULL
2,3,49320,105,526355,810,8,1552937,47584521,1047343803,Vladimír Acksteiner - ACK TAXI,Spišská Nová Ves,Slovenská 2562/46,5201,07/04/2020,01/08/2014,FALSE,SUSR,17/05/2016 23:41,12/05/2020 20:27,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526509,801,8,959111,45356459,1032595586,Jozef Beluško,Gelnica,Vodárenská 1401/10,5601,31/07/2017,11/01/2010,FALSE,SUSR,17/05/2016 23:10,01/08/2017 14:56,FALSE,NULL,NULL,Košický kraj,Region of Košice,Gelnica,Gelnica,Gelnica,Gelnica,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,990130,45411557,1074612539,Vlastimil Geletka,Spišská Nová Ves,Starosaská 4,5201,12/03/2018,01/03/2010,FALSE,SUSR,17/05/2016 23:11,17/03/2018 06:25,FALSE,2013-01-28,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,543284,810,8,672840,35415576,1039710760,Karol Gříbek,Letanovce,Slovenského Raja 271/84,5313,31/07/2017,23/02/1999,FALSE,SUSR,17/05/2016 22:54,01/08/2017 12:44,FALSE,2013-12-03,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Letanovce,Letanovce,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,351277,43759181,NULL,Jaromír Cvengroš,Spišská Nová Ves,J. Wolkera 2200/20,5205,31/07/2017,26/09/2007,FALSE,SUSR,17/05/2016 22:23,01/08/2017 08:33,FALSE,2008-02-27,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526509,801,8,855239,41710495,1074943551,Ján Duch - JACK,Gelnica,Dubová 1275/23,5601,12/03/2018,01/09/2010,FALSE,SUSR,17/05/2016 23:08,17/03/2018 06:05,FALSE,2013-08-03,NULL,Košický kraj,Region of Košice,Gelnica,Gelnica,Gelnica,Gelnica,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,654819,40845842,1071459697,Vladimír Havrilla,Spišská Nová Ves,Hutnícka 7,5201,31/07/2017,15/07/2003,FALSE,SUSR,17/05/2016 22:52,01/08/2017 12:31,FALSE,2011-02-01,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,526355,810,8,1711286,50994361,NULL,Richard Čaja,Spišská Nová Ves,Brezová 2055/22,5201,09/09/2020,12/08/2020,FALSE,SUSR,02/08/2017 20:48,10/09/2020 02:15,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526509,801,8,97316,40110800,1073729855,Miloš Plachetka - KLM,Gelnica,Športová 1311/30,5601,31/07/2017,09/07/2010,FALSE,SUSR,17/05/2016 21:56,01/08/2017 03:14,FALSE,2011-06-30,NULL,Košický kraj,Region of Košice,Gelnica,Gelnica,Gelnica,Gelnica,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,2,49320,105,526355,810,8,1096117,42242754,1041480176,Ondrej Tabák,Spišská Nová Ves,Dubová 9/2,5201,22/10/2019,08/07/2011,FALSE,SUSR,17/05/2016 23:16,29/10/2019 02:55,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1825373,52200841,NULL,Ján Hrušovský,Spišská Nová Ves,Štúrovo nábrežie 2779/18,5205,04/04/2019,01/02/2019,FALSE,SUSR,07/03/2019 02:13,05/04/2019 02:12,FALSE,2019-03-01,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1556824,47884754,NULL,Miroslav Gonda,Spišská Nová Ves,Trieda 1. mája 2224/37,5205,12/03/2018,27/06/2016,FALSE,SUSR,17/05/2016 23:41,17/03/2018 10:00,FALSE,2018-02-01,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1793721,51964694,NULL,Tomáš Repaský,Spišská Nová Ves,Lipová 1907/18,5201,11/05/2020,17/09/2018,FALSE,SUSR,05/10/2018 02:04,12/05/2020 19:37,FALSE,2020-04-07,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,560154,810,8,1580832,48071471,NULL,Patrik Bartoš,Smižany,Za kaštieľom 1325/3,5311,03/07/2018,20/02/2015,FALSE,SUSR,17/05/2016 23:44,04/07/2018 02:17,FALSE,2018-06-19,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Smižany,Smižany,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1821898,33984972,NULL,Radoslav Schloser,Spišská Nová Ves,Záborského 1412/5,5201,06/03/2019,09/01/2019,FALSE,SUSR,07/03/2019 02:10,07/03/2019 02:10,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,560154,810,8,1537210,47729619,NULL,Erik Tompoš,Smižany,Za Kaštieľom 1328/6,5311,12/03/2018,17/03/2014,FALSE,SUSR,17/05/2016 23:39,17/03/2018 09:58,FALSE,2018-02-01,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Smižany,Smižany,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1798518,51958341,1073292880,Pavol Klimek,Spišská Nová Ves,Gaštanová 1742/2,5201,03/12/2019,17/09/2018,FALSE,SUSR,05/10/2018 02:07,04/12/2019 02:07,FALSE,2019-11-15,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1579647,48041874,NULL,Ján Ščúr,Spišská Nová Ves,Hurbanova 2006/16,5201,07/04/2020,02/02/2015,FALSE,SUSR,17/05/2016 23:44,12/05/2020 20:27,FALSE,2020-03-03,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1870746,52681700,NULL,Štefan Korenko,Spišská Nová Ves,Javorová 2018/15,5201,22/10/2019,24/09/2019,FALSE,SUSR,29/10/2019 15:53,29/10/2019 15:53,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,525634,808,8,1579625,48070271,NULL,Peter Duck,Dobšiná,Jarková 348/22,4925,03/07/2020,16/03/2018,FALSE,SUSR,17/05/2016 23:44,04/07/2020 05:35,FALSE,2020-06-10,NULL,Košický kraj,Region of Košice,Rožňava,Rožňava,Dobšiná,Dobšiná,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,109,543331,810,8,1895696,52935531,NULL,Matej Penták MP TRANS,Markušovce,Michalská 308/24,5321,07/04/2020,04/02/2020,FALSE,SUSR,12/05/2020 20:38,12/05/2020 20:38,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Markušovce,Markušovce,Živ.a sl.povolanie,"Entrep,freelance ocup.",Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,413531,33985669,1023586025,Vladimír Giľák,Spišská Nová Ves,Kamenný obrázok 290/6,5201,06/05/2019,29/12/2016,FALSE,SUSR,17/05/2016 22:29,07/05/2019 02:02,FALSE,2019-04-02,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,560154,810,8,1767163,51659115,NULL,Dávid Sako,Smižany,Pribinova 1146/101,5311,09/05/2018,03/04/2018,FALSE,SUSR,10/05/2018 02:45,10/05/2018 02:45,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Smižany,Smižany,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,1717792,51025841,NULL,Dávid Šmihuľa,Spišská Nová Ves,Slovenská 2559/34,5201,04/10/2018,11/10/2017,FALSE,SUSR,07/09/2017 02:49,05/10/2018 02:03,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,543586,810,8,1776367,51776979,NULL,Peter Zavadský,Spišské Tomášovce,Kostolná 302/49,5201,03/06/2019,05/06/2018,FALSE,SUSR,04/07/2018 02:24,04/06/2019 02:06,FALSE,2019-04-30,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišské Tomášovce,Spišské Tomášovce,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49390,101,526355,810,8,207619,34524070,1023593472,"Peter Petruf, ABC - TAXI",Spišská Nová Ves,A. Mickiewicza 1372/3,5201,12/03/2018,06/03/1996,FALSE,SUSR,17/05/2016 22:08,16/03/2018 15:22,FALSE,2011-06-02,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
